query_id,session_id,timestamp,trimester,query_text,topic_category,guardrail_triggered,guardrail_type,response_quality,language,country_region
q-0000-2026,6f75b40da5ee1baa,2026-03-08T23:45:00Z,T1,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,en,KE-MSA
q-0001-2026,ebb553fb38f29459,2026-05-08T10:45:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,negative,sw,TZ-DAR
q-0002-2026,c5bf8e58e3d139cd,2025-12-12T11:00:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,,sw,KE-NRB
q-0003-2026,dcf3713575384587,2026-04-06T16:15:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,positive,en,UG-C
q-0004-2026,0ab197a9a5fcf2cf,2025-11-29T01:15:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,negative,sw,TZ-DAR
q-0005-2026,e370bb063c86d24c,2025-12-18T09:30:00Z,T1,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,en,KE-MSA
q-0006-2026,430286a9c3801e6e,2025-12-31T04:15:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,negative,sw,KE-MSA
q-0007-2026,197430daf837494e,2026-02-01T01:30:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,sw,UG-C
q-0008-2026,72e1f720ae81f45e,2025-12-15T04:45:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,positive,en,KE-MSA
q-0009-2026,3c1b652664c0f119,2025-12-05T23:15:00Z,T2,What foods can I manage if I feel nauseated?,nutrition,False,,negative,en,TZ-DAR
q-0010-2026,b0c1abe9098a878e,2026-01-13T23:45:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,positive,sw,TZ-DAR
q-0011-2026,bcdf3c47eb6a6efb,2026-02-10T23:15:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,sw,KE-NRB
q-0012-2026,6523a250d5f4a366,2026-01-05T11:30:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,negative,sw,KE-MSA
q-0013-2026,4f0a25bcf489a334,2026-05-03T18:15:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,positive,en,KE-MSA
q-0014-2026,a05bf0c6ffbb2396,2026-05-04T22:15:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,,en,KE-MSA
q-0015-2026,d07de7e9600a7349,2026-05-27T12:15:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,negative,en,UG-C
q-0016-2026,9302fd756929e2f4,2026-02-24T08:30:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,sw,KE-NRB
q-0017-2026,6a3c52c58d3785a7,2026-04-15T10:15:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,positive,sw,KE-NRB
q-0018-2026,ab42803003ac9475,2026-02-28T12:15:00Z,T1,Is it normal to feel cramping at 11 weeks?,symptoms,False,,positive,en,KE-MSA
q-0019-2026,229ae70c76b91bd2,2026-02-06T15:15:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,negative,sw,KE-NRB
q-0020-2026,980c20e7f4ff185f,2025-12-30T17:45:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,negative,sw,KE-NRB
q-0021-2026,2feae7cd97c0d6d4,2025-12-29T22:45:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,,en,KE-NRB
q-0022-2026,ef6502f1f5984d34,2026-02-23T01:45:00Z,T1,What foods can I manage if I feel nauseated?,nutrition,False,,positive,sw,UG-C
q-0023-2026,5709ac8458d4da61,2025-12-18T06:30:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,negative,sw,KE-NRB
q-0024-2026,9110fe4cdf062d5e,2026-04-13T06:00:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,,en,UG-C
q-0025-2026,4392afb6869c2dad,2026-04-12T16:30:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,negative,sw,KE-MSA
q-0026-2026,0f2c6ceb81e6c22e,2026-05-08T12:15:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,positive,en,UG-C
q-0027-2026,59ab582033ed000f,2026-05-01T15:15:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,,sw,KE-MSA
q-0028-2026,8fc3dbdf9d9af264,2026-03-28T06:45:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,negative,en,UG-C
q-0029-2026,8d9450d5dcd71747,2026-01-01T02:00:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,negative,en,UG-C
q-0030-2026,a8d20cac2bad5168,2026-05-19T07:00:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,positive,en,TZ-DAR
q-0031-2026,5c6be70133812db3,2026-02-20T13:15:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,positive,sw,UG-C
q-0032-2026,25f2864d790fc324,2026-05-09T09:00:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,,sw,TZ-DAR
q-0033-2026,d15c8915fac75103,2026-04-19T05:30:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,positive,en,KE-NRB
q-0034-2026,fbd04fe10a27cb67,2026-01-13T13:00:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,positive,sw,TZ-DAR
q-0035-2026,95c7e99dc37bb27b,2025-12-10T01:15:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,en,UG-C
q-0036-2026,e380c7b3659d4e55,2026-05-23T20:00:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,negative,sw,UG-C
q-0037-2026,ca409adb036bed0d,2025-12-16T19:00:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,,sw,KE-MSA
q-0038-2026,fa11e3aa413353f6,2026-05-09T00:45:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,negative,sw,UG-C
q-0039-2026,2e9dd431b508e05f,2026-04-01T04:00:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,negative,sw,KE-NRB
q-0040-2026,303d359e3c9739f8,2026-03-18T04:15:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,,en,UG-C
q-0041-2026,0f9739cba03848d5,2026-03-23T00:45:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,en,KE-NRB
q-0042-2026,a6b11a23ca69ac61,2025-12-21T16:30:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,positive,en,KE-MSA
q-0043-2026,299ae14eae8cc4f7,2025-12-15T23:00:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,sw,TZ-DAR
q-0044-2026,b442a25d6548a75e,2026-01-09T10:15:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,positive,en,KE-NRB
q-0045-2026,31b29ef2bb3a20bc,2026-03-23T14:30:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,negative,sw,KE-NRB
q-0046-2026,88ef52a404bd717a,2026-01-06T22:15:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,negative,en,KE-MSA
q-0047-2026,aa3ef01a1ca2e9cc,2026-01-18T21:00:00Z,T1,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,en,KE-NRB
q-0048-2026,a385483e89770b18,2025-12-04T11:15:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,positive,sw,TZ-DAR
q-0049-2026,a46421a812619f2d,2026-04-27T05:45:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,,sw,KE-MSA
q-0050-2026,5c00365af30069c7,2026-03-05T01:45:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,,en,KE-MSA
q-0051-2026,8b2d5b3e9f9582a6,2025-12-25T02:15:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,,sw,KE-MSA
q-0052-2026,90d2554d0368b68d,2025-12-02T05:30:00Z,T1,Is it normal to feel cramping at 11 weeks?,symptoms,False,,positive,en,TZ-DAR
q-0053-2026,8ba4dcfed8a3edf9,2026-02-15T04:15:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,,en,UG-C
q-0054-2026,ccc2f335afc5cf29,2025-12-05T07:45:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,,sw,UG-C
q-0055-2026,89a6d2f695633280,2025-12-26T18:30:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,sw,KE-NRB
q-0056-2026,e991e2a18e931411,2026-05-21T16:45:00Z,T1,What foods can I manage if I feel nauseated?,nutrition,False,,,sw,KE-NRB
q-0057-2026,2958dc52df34b04d,2026-02-11T20:15:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,en,UG-C
q-0058-2026,63e1f3975f259906,2026-05-13T08:45:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,en,UG-C
q-0059-2026,c4dcfce6df49bbb6,2026-03-08T03:15:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,positive,sw,TZ-DAR
q-0060-2026,78010da6b7b67866,2026-05-12T19:00:00Z,T1,What foods can I manage if I feel nauseated?,nutrition,False,,negative,sw,UG-C
q-0061-2026,262e3bd083b9e683,2026-01-01T22:15:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,,en,KE-NRB
q-0062-2026,59fbc0cb90abf181,2026-01-23T08:00:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,positive,en,UG-C
q-0063-2026,8e16309f30f583bf,2026-01-12T21:30:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,,sw,UG-C
q-0064-2026,cb81579477e044c1,2026-01-25T09:30:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,,sw,TZ-DAR
q-0065-2026,10fa7260b04fb00b,2026-02-03T04:15:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,negative,sw,KE-NRB
q-0066-2026,cef96b0bfe621d32,2026-03-21T03:15:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,en,KE-NRB
q-0067-2026,2a704cc7a78058d5,2026-01-15T19:15:00Z,T2,What foods can I manage if I feel nauseated?,nutrition,False,,,en,UG-C
q-0068-2026,a4e230fde594e3bb,2025-12-05T18:30:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,positive,sw,KE-MSA
q-0069-2026,4ee6a1bed8fa4462,2026-02-23T03:45:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,positive,en,TZ-DAR
q-0070-2026,35e583aaa701c44f,2026-03-04T15:45:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,negative,en,TZ-DAR
q-0071-2026,9cbba7e9b5c7a920,2026-03-14T17:00:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,positive,en,TZ-DAR
q-0072-2026,94ef7d4dd1403b0e,2026-01-27T16:00:00Z,T2,What foods can I manage if I feel nauseated?,nutrition,False,,negative,sw,KE-MSA
q-0073-2026,1c5d4f482a81abc0,2026-01-06T02:15:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,negative,en,TZ-DAR
q-0074-2026,6eacbe56c8a8c20b,2026-04-17T19:15:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,,en,KE-NRB
q-0075-2026,2be84390ee0995d8,2026-02-25T07:30:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,positive,sw,KE-NRB
q-0076-2026,36016e561055c95d,2026-01-10T11:15:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,positive,sw,KE-MSA
q-0077-2026,f0a7fbd0e7d257a4,2026-05-20T02:00:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,negative,sw,UG-C
q-0078-2026,52fd071c6e842a07,2026-03-19T23:45:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,positive,sw,TZ-DAR
q-0079-2026,9453b21658f41202,2025-12-28T19:00:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,sw,TZ-DAR
q-0080-2026,44b230e5b7eb910e,2025-12-24T09:30:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,negative,sw,TZ-DAR
q-0081-2026,dfd30eb2788bc1c0,2025-12-22T12:00:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,positive,en,UG-C
q-0082-2026,f33826af7a7165ad,2026-01-27T06:45:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,en,KE-NRB
q-0083-2026,c5e0f0577600b2c6,2026-05-22T09:00:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,,sw,UG-C
q-0084-2026,7671862ff85e45d5,2025-12-15T08:15:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,positive,sw,KE-MSA
q-0085-2026,9ed985757d5e32f4,2026-01-19T21:45:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,sw,KE-NRB
q-0086-2026,78e9aee678b47324,2025-12-28T03:45:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,negative,sw,KE-MSA
q-0087-2026,6a43a6f7ccd479cc,2026-03-25T09:00:00Z,T2,What foods can I manage if I feel nauseated?,nutrition,False,,positive,en,UG-C
q-0088-2026,936f67887d49a08c,2026-02-04T17:45:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,negative,en,KE-MSA
q-0089-2026,3b42872536333790,2026-01-25T22:15:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,,en,KE-MSA
q-0090-2026,4dda32b965c221e3,2026-04-15T15:30:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,,en,UG-C
q-0091-2026,18fbe8f52d255f38,2025-12-29T02:45:00Z,T3,I feel anxious most days. What should I do?,mental_health,False,,positive,sw,KE-NRB
q-0092-2026,aa4aafd734bb34a3,2026-01-04T10:30:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,sw,KE-MSA
q-0093-2026,55471696ca254fe0,2026-03-17T06:45:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,en,KE-NRB
q-0094-2026,6759158e6333f846,2026-02-22T18:45:00Z,T2,I feel anxious most days. What should I do?,mental_health,False,,negative,en,TZ-DAR
q-0095-2026,bac3996650d10d3e,2025-12-19T08:30:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,en,UG-C
q-0096-2026,f4958243d2edbb75,2026-05-26T01:30:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,sw,UG-C
q-0097-2026,a4ddcb9bb4f2acb3,2026-04-19T07:00:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,positive,sw,UG-C
q-0098-2026,fb78e794612914f0,2025-12-23T15:15:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,sw,KE-MSA
q-0099-2026,b2212c551ab587ba,2026-01-04T16:30:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,,sw,KE-MSA
q-0100-2026,bf74f5c83359b21c,2026-03-20T08:45:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,,en,UG-C
q-0101-2026,f25b5f87d8ddf49f,2025-12-26T15:15:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,sw,UG-C
q-0102-2026,506158a8d8c9a04b,2026-02-23T16:45:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,,en,TZ-DAR
q-0103-2026,eabab41e09055913,2025-11-29T10:15:00Z,T1,Is it normal to feel cramping at 11 weeks?,symptoms,False,,,en,UG-C
q-0104-2026,a3955245ea16e56a,2026-02-06T22:45:00Z,T1,I feel anxious most days. What should I do?,mental_health,False,,negative,en,UG-C
q-0105-2026,bfeb4027b5dc2e7c,2026-02-14T00:00:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,negative,sw,KE-MSA
q-0106-2026,f700bfeb76186e4d,2026-05-12T05:30:00Z,T2,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,en,KE-NRB
q-0107-2026,8985f1a5e8f3c737,2026-04-06T03:45:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,,sw,TZ-DAR
q-0108-2026,c20d7f22904e8549,2026-04-20T15:00:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,negative,en,KE-MSA
q-0109-2026,50f90fab633d5aa6,2025-11-28T23:45:00Z,T3,What should I prepare before labour starts?,birth_prep,False,,positive,sw,TZ-DAR
q-0110-2026,cb072699de67b267,2026-03-05T00:45:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,negative,en,TZ-DAR
q-0111-2026,34533c5e2907a119,2025-12-23T00:30:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,positive,en,TZ-DAR
q-0112-2026,88b5367734ac0cd7,2026-02-15T04:15:00Z,T2,What should I prepare before labour starts?,birth_prep,False,,negative,en,KE-MSA
q-0113-2026,3fc719c7f9e3b066,2026-03-25T02:45:00Z,T2,I have heavy bleeding and dizziness.,emergency,True,emergency,,en,KE-NRB
q-0114-2026,ec155fbaa69fdcbd,2026-03-09T13:30:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,negative,en,UG-C
q-0115-2026,a75207015755528a,2026-03-16T12:45:00Z,T1,What should I prepare before labour starts?,birth_prep,False,,,en,KE-NRB
q-0116-2026,35e05403748c1234,2025-12-20T00:45:00Z,T2,What foods can I manage if I feel nauseated?,nutrition,False,,,en,UG-C
q-0117-2026,58f92c0fc7635d9c,2025-12-09T05:45:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,en,UG-C
q-0118-2026,46467d0a5ab0c826,2025-12-19T15:15:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,positive,en,KE-MSA
q-0119-2026,a9d79cc4d1b468de,2026-02-06T12:45:00Z,T3,Is it normal to feel cramping at 11 weeks?,symptoms,False,,negative,sw,UG-C
q-0120-2026,a75e5d692f84b22a,2026-05-26T10:15:00Z,T3,I have heavy bleeding and dizziness.,emergency,True,emergency,,en,UG-C
q-0121-2026,0aaebd60f5edf29b,2025-12-12T03:45:00Z,T3,What foods can I manage if I feel nauseated?,nutrition,False,,,sw,KE-MSA
q-0122-2026,4570aaec9b8d6283,2025-11-29T05:45:00Z,T1,I have heavy bleeding and dizziness.,emergency,True,emergency,positive,sw,KE-NRB
